과목이름		더 잘한 과	평균의 차이	수석의 ID		수석의 점수	수석의 과		꼴지의ID		꼴지의 점수	꼴지의 과
Sub20		B		2.356		11		8.93		B		18		2.06		B
Sub28		B		2.130		17		8.54		B		2		3.40		A
Sub26		B		1.631		14		8.22		B		9		3.29		A
Sub18		B		1.304		17		7.51		B		6		3.64		A
Sub4		B		1.261		12		8.96		B		15		3.42		B
Sub1		B		1.072		17		7.77		B		5		2.41		A
Sub5		B		1.005		17		6.92		B		4		1.17		A
Sub7		B		0.965		11		6.58		B		8		3.58		A
Sub19		B		0.934		17		6.42		B		4		2.99		A
Sub15		B		0.927		17		6.66		B		2		2.88		A
Sub16		B		0.851		17		5.71		B		18		2.35		B
Sub11		A		0.840		9		6.57		A		8		6.17		A
Sub10		B		0.829		10		8.87		A		8		4.07		A
Sub22		B		0.793		11		5.92		B		6		2.62		A
Sub3		B		0.767		8		8.33		A		14		1.00		B
Sub17		B		0.757		14		8.63		B		8		2.54		A
Sub6		B		0.682		14		7.82		B		4		3.17		A
Sub13		B		0.405		11		7.35		B		12		4.21		B
Sub2		B		0.392		11		5.95		B		12		4.04		B
Sub24		B		0.343		14		8.90		B		15		1.92		B
Sub30		B		0.339		17		5.55		B		10		3.11		A
Sub12		A		0.335		9		3.07		A		11		2.57		B
Sub25		B		0.327		3		8.98		A		11		1.83		B
Sub29		A		0.293		4		3.83		A		2		2.52		A
Sub8		A		0.230		13		6.50		B		8		4.78		A
Sub14		A		0.145		8		2.63		A		14		1.85		B
Sub21		A		0.081		11		1.84		B		20		1.72		B
Sub9		A		0.071		20		4.11		B		11		2.76		B
Sub23		A		0.053		7		8.49		A		10		2.17		A
Sub27		A		0.035		14		8.95		B		16		1.67		B
